x,Curve1
-7.5646,1.00043
-7.3766,0.998967
-7.2428,0.999656
-7.1421,0.999139
-7.0151,1.000086
-6.961,0.998365
-6.9065,0.995009
-6.8267,0.99716
-6.7672,1.000258
-6.7197,0.997849
-6.5527,0.999828
-6.5248,0.995611
-6.4515,0.997332
-6.3376,0.997246
-6.21,0.996041
-6.1169,0.998795
-6.0489,0.995009
-5.929,0.997676
-5.8883,0.995611
-5.8007,0.993976
-5.7597,0.990706
-5.684,0.983391
-5.5026,0.981497
-5.4661,0.97031
-5.4106,0.963253
-5.3674,0.952065
-5.3046,0.942685
-5.2226,0.936747
-5.1571,0.942513
-5.1324,0.950086
-5.0355,0.963683
-5.0176,0.971945
-4.9531,0.981153
-4.8533,0.983821
-4.8349,0.990361
-4.7752,0.992513
-4.695,0.993201
-4.642,0.995611
-4.5284,0.996644
-4.3948,0.998193
-4.2673,0.997246
-4.2321,0.991136
-4.1732,0.996299
-4.1463,0.995697
-4.0856,0.994234
-3.9997,0.998967
-3.9647,0.993201
-3.8986,0.99673
-3.7445,0.996558
-3.7037,0.994578
-3.6357,0.99062
-3.4944,0.988554
-3.4328,0.983649
-3.3779,0.978657
-3.3227,0.972719
-3.2525,0.961015
-3.1818,0.947074
-3.1501,0.928744
-3.0792,0.914286
-2.9776,0.910069
-2.9478,0.92401
-2.8725,0.942943
-2.7891,0.956885
-2.739,0.969793
-2.7015,0.979948
-2.6357,0.984596
-2.5566,0.989243
-2.5238,0.992083
-2.4496,0.990017
-2.4313,0.996902
-2.343,0.992341
-2.2834,0.99475
-2.142,0.992427
-2.0701,0.999225
-2.0624,0.995267
-1.9491,0.997676
-1.7684,0.998365
-1.6143,0.998451
-1.5939,0.997246
-1.4397,0.996902
-1.3115,0.99346
-1.2451,0.995955
-1.1702,0.991136
-1.056,0.990189
-0.988,0.986317
-0.9533,0.981928
-0.9113,0.975473
-0.7906,0.974785
-0.6983,0.980379
-0.6275,0.99148
-0.6189,0.984423
-0.5546,0.994406
-0.4871,0.992599
-0.3672,0.995181
-0.3075,0.997246
-0.1603,0.998193
-0.0925,0.995009
0.0872,0.999484
0.208,0.998795
0.3022,0.997246
0.3831,0.995525
0.4846,0.991652
0.5174,0.994578
0.5791,0.989329
0.6673,0.985026
0.7288,0.980551
0.7907,0.974699
0.8972,0.977367
0.9764,0.98167
1.0217,0.987608
1.0743,0.991566
1.1198,0.996816
1.2944,0.995353
1.4672,1.000516
1.4882,0.997074
1.6216,0.999398
1.7028,0.996386
1.7491,0.998537
1.8426,0.999828
1.9504,0.99759
2.0045,0.995783
2.2125,0.994578
2.2522,0.996386
2.454,0.993373
2.5029,0.986059
2.576,0.988296
2.6739,0.972978
2.678,0.982616
2.7487,0.968933
2.8385,0.958778
2.9105,0.940361
2.9136,0.928571
3.0049,0.912909
3.0838,0.918589
3.1535,0.933391
3.2102,0.946988
3.2448,0.967728
3.3233,0.975043
3.461,0.986145
3.5131,0.991566
3.6728,0.995697
3.7873,0.993804
3.8933,0.998279
3.9139,0.996386
4.061,0.997418
4.2025,0.994406
4.2681,0.99957
4.4298,0.996299
4.5173,0.994923
4.5245,0.993115
4.7396,0.990275
4.8549,0.985112
4.8823,0.98296
4.9505,0.978571
5.0188,0.973752
5.0943,0.96704
5.0982,0.952324
5.1797,0.948107
5.2416,0.942427
5.3075,0.946472
5.3961,0.965835
5.399,0.955077
5.5415,0.973322
5.5722,0.983907
5.6232,0.993373
5.6377,0.989157
5.7509,0.992083
5.8173,0.994148
5.897,0.996644
6.0039,0.998107
6.2312,0.999828
6.2925,0.996041
6.4253,1.000688
6.5664,0.998967
6.6598,1.000775
6.7276,0.997676
6.7667,1.001635
6.8208,0.999914
6.9407,1.00241
6.9879,1.001291
7.136,0.998967
7.2892,1.002324
7.4772,1.000516
