x,Curve3
-5.861,-0.08496
-5.6843,-0.09364
-5.5076,-0.09824
-5.3309,-0.10175
-5.1543,-0.10753
-4.9776,-0.11416
-4.8009,-0.12046
-4.6242,-0.12663
-4.4475,-0.13315
-4.2709,-0.13966
-4.0942,-0.14614
-3.9175,-0.15386
-3.7408,-0.1637
-3.5641,-0.17402
-3.3875,-0.18368
-3.2108,-0.19252
-3.0341,-0.20122
-2.8574,-0.21103
-2.6808,-0.22276
-2.5041,-0.23588
-2.3274,-0.24934
-2.1507,-0.26274
-1.974,-0.27851
-1.7974,-0.30491
-1.6207,-0.36816
-1.444,-0.43729
-1.2673,-0.57433
-1.0906,-0.68104
-0.914,-0.78986
-0.7373,-0.9198
-0.5606,-1.00272
-0.3839,-1.06735
-0.2073,-1.09111
-0.0306,-1.08422
0.1461,-1.06603
0.3228,-1.01624
0.4995,-0.93502
0.6761,-0.82724
0.8528,-0.7387
1.0295,-0.65286
1.2062,-0.54825
1.3829,-0.42783
1.5595,-0.3582
1.7362,-0.30764
1.9129,-0.28424
2.0896,-0.26766
2.2662,-0.25256
2.4429,-0.23818
2.6196,-0.22535
2.7963,-0.21418
2.973,-0.2039
3.1496,-0.19404
3.3263,-0.1844
3.503,-0.17503
3.6797,-0.16605
3.8563,-0.15765
4.033,-0.14991
4.2097,-0.14283
4.3864,-0.13623
4.5631,-0.12996
4.7397,-0.12388
4.9164,-0.11791
5.0931,-0.11207
5.2698,-0.10646
5.4465,-0.10121
5.6231,-0.0966
5.7998,-0.09275
5.9765,-0.08912
6.1532,-0.08495
6.3298,-0.08028
6.5065,-0.07571
6.6832,-0.07175
6.8599,-0.06894
7.0366,-0.06712
7.2132,-0.06556
7.3899,-0.06347
7.5666,-0.06068
7.7433,-0.05761
7.92,-0.05471
8.0966,-0.05238
8.2733,-0.05074
8.45,-0.04965
8.6267,-0.04891
8.8033,-0.04839
8.98,-0.04806
9.1567,-0.04791
9.3334,-0.04794
9.5101,-0.04814
9.6867,-0.04849
9.8634,-0.0489
10.0401,-0.04918
10.2168,-0.04918
10.3935,-0.04875
10.5701,-0.04791
10.7468,-0.04688
10.9235,-0.04599
11.1002,-0.04573
11.2768,-0.04609
11.4535,-0.0465
11.6302,-0.04672
11.8069,-0.04684
11.9836,-0.04692
