TITLE;TDBC_NaOH_c0_1mmK_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/18
TIME;14:57:06
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;   617,04901
MAXY; 13833,46875
MINY;  -232,90608
XYDATA
570,0000;617,049
571,0000;717,405
572,0000;836,506
573,0000;977,635
574,0000;1145,85
575,0000;1342,29
576,0000;1572,51
577,0000;1840,24
578,0000;2147,08
579,0000;2500,57
580,0000;2908,32
581,0000;3372
582,0000;3892,09
583,0000;4488,77
584,0000;5163,8
585,0000;5908,09
586,0000;6731,84
587,0000;7624,54
588,0000;8582,22
589,0000;9572,64
590,0000;10553,2
591,0000;11484,4
592,0000;12301,6
593,0000;12960,4
594,0000;13439,8
595,0000;13731,3
596,0000;13833,5
597,0000;13740,3
598,0000;13461,2
599,0000;13015,5
600,0000;12408,7
601,0000;11676,9
602,0000;10917,4
603,0000;10164,7
604,0000;9448,15
605,0000;8778,54
606,0000;8157,26
607,0000;7584,47
608,0000;7062,52
609,0000;6562,64
610,0000;6086,37
611,0000;5638,81
612,0000;5226,12
613,0000;4860,28
614,0000;4548,5
615,0000;4283,75
616,0000;4063,29
617,0000;3877,54
618,0000;3719,44
619,0000;3583,62
620,0000;3463,19
621,0000;3351,99
622,0000;3244,05
623,0000;3147,45
624,0000;3060,71
625,0000;2976,31
626,0000;2894,97
627,0000;2804,28
628,0000;2702,17
629,0000;2583,12
630,0000;2442,33
631,0000;2285,61
632,0000;2128,64
633,0000;1969,81
634,0000;1825,8
635,0000;1698,04
636,0000;1587,2
637,0000;1487,86
638,0000;1395,31
639,0000;1303,61
640,0000;1212,82
641,0000;1121,84
642,0000;1029,58
643,0000;938,519
644,0000;849,676
645,0000;764,548
646,0000;683,596
647,0000;608,85
648,0000;538,864
649,0000;477,379
650,0000;421,582
651,0000;375,902
652,0000;338,611
653,0000;308,38
654,0000;284,808
655,0000;265,192
656,0000;249,091
657,0000;234,171
658,0000;221,043
659,0000;209,241
660,0000;198,507
661,0000;188,409
662,0000;179,12
663,0000;170,977
664,0000;164,176
665,0000;157,067
666,0000;151,111
667,0000;146,894
668,0000;142,989
669,0000;138,455
670,0000;135,292
671,0000;132,4
672,0000;128,535
673,0000;125,903
674,0000;122,879
675,0000;120,355
676,0000;117,852
677,0000;115,768
678,0000;112,84
679,0000;110,456
680,0000;107,474
681,0000;105,127
682,0000;102,151
683,0000;99,8896
684,0000;97,5194
685,0000;94,3649
686,0000;91,9507
687,0000;89,2266
688,0000;87,0992
689,0000;84,3463
690,0000;81,6306
691,0000;79,0452
692,0000;77,2064
693,0000;74,5616
694,0000;71,9943
695,0000;69,3493
696,0000;66,8519
697,0000;64,6174
698,0000;62,2145
699,0000;59,7585
700,0000;57,9125
701,0000;55,6261
702,0000;53,4755
703,0000;51,5386
704,0000;49,2496
705,0000;47,3309
706,0000;45,6784
707,0000;43,6139
708,0000;41,7199
709,0000;40,2186
710,0000;38,3671
711,0000;36,8764
712,0000;35,0614
713,0000;33,4324
714,0000;32,2192
715,0000;30,34
716,0000;28,4767
717,0000;27,2075
718,0000;25,2477
719,0000;23,557
720,0000;22,2044
721,0000;20,4538
722,0000;19,8976
723,0000;18,1996
724,0000;16,7193
725,0000;15,7169
726,0000;14,2188
