TITLE;TDBC_NaOH_c4_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/17
TIME;23:38:39
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;   272,06320
MAXY; 13065,89648
MINY;    84,56637
XYDATA
570,0000;272,063
571,0000;309,817
572,0000;358,762
573,0000;421,91
574,0000;510,275
575,0000;616,993
576,0000;777,51
577,0000;991,279
578,0000;1275,97
579,0000;1641,42
580,0000;2208,93
581,0000;2965,74
582,0000;4031,37
583,0000;5496,9
584,0000;7367,42
585,0000;9452,2
586,0000;11442,6
587,0000;12812,1
588,0000;13065,9
589,0000;12151,5
590,0000;10343
591,0000;8034,47
592,0000;5783,53
593,0000;4045,01
594,0000;2881,91
595,0000;2136,93
596,0000;1641,32
597,0000;1295,78
598,0000;1072,01
599,0000;908,772
600,0000;771,793
601,0000;678
602,0000;594,626
603,0000;544,418
604,0000;497,216
605,0000;464,961
606,0000;425,944
607,0000;411,588
608,0000;390,12
609,0000;362,151
610,0000;350,886
611,0000;330,527
612,0000;314,238
613,0000;301,794
614,0000;285,028
615,0000;278,874
616,0000;263,157
617,0000;260,782
618,0000;259,724
619,0000;255,178
620,0000;247,798
621,0000;242,42
622,0000;244,649
623,0000;239,251
624,0000;244,606
625,0000;231,369
626,0000;234,09
627,0000;231,185
628,0000;222,153
629,0000;218,303
630,0000;209,347
631,0000;209,839
632,0000;203,874
633,0000;188,941
634,0000;183,401
635,0000;172,936
636,0000;167,21
637,0000;162,407
638,0000;158,651
639,0000;152,135
640,0000;146,759
641,0000;145,219
642,0000;141,167
643,0000;137,012
644,0000;128,684
645,0000;125,583
646,0000;112,327
647,0000;113,797
648,0000;106,935
649,0000;104,361
650,0000;99,6174
651,0000;96,151
652,0000;97,1854
653,0000;98,5995
654,0000;93,344
655,0000;90,1078
656,0000;84,5664
657,0000;95,4617
658,0000;90,7108
659,0000;88,9767
660,0000;97,1288
661,0000;91,6682
662,0000;94,7111
663,0000;92,7202
664,0000;91,7309
665,0000;99,6114
666,0000;100,694
667,0000;91,9918
668,0000;96,4016
669,0000;95,9694
670,0000;95,1407
671,0000;95,2747
672,0000;90,8315
673,0000;97,0409
674,0000;99,4879
675,0000;94,5827
676,0000;100,255
677,0000;102,485
678,0000;101,881
679,0000;118,614
680,0000;104,359
681,0000;100,805
682,0000;106,099
683,0000;116,274
684,0000;106,542
685,0000;113,59
686,0000;126,657
687,0000;117,1
688,0000;122,71
689,0000;127,664
690,0000;124,246
691,0000;125,21
692,0000;117,653
693,0000;123,894
694,0000;122,46
695,0000;129,398
696,0000;128,817
697,0000;123,609
698,0000;129,256
699,0000;129,525
700,0000;134,746
701,0000;138,298
702,0000;136,696
703,0000;136,86
704,0000;147,134
705,0000;143,673
706,0000;149,636
707,0000;159,046
708,0000;150,828
709,0000;143,843
710,0000;145,258
711,0000;156,181
712,0000;149,901
713,0000;147,678
714,0000;152,306
715,0000;159,332
716,0000;157,675
717,0000;164,808
718,0000;167,278
719,0000;172,403
720,0000;175,031
721,0000;178,462
722,0000;175,599
723,0000;167,073
724,0000;169,849
725,0000;178,008
726,0000;185,056
727,0000;186,826
728,0000;188,048
729,0000;182,769
730,0000;192,309
731,0000;204,262
732,0000;197,013
733,0000;206,338
734,0000;206,329
735,0000;208,072
736,0000;218,249
737,0000;215,093
738,0000;217,22
739,0000;220,866
740,0000;232,394
741,0000;232,46
742,0000;262,018
743,0000;253,716
744,0000;269,614
745,0000;249,887
746,0000;258,658
747,0000;253,082
748,0000;253,339
749,0000;279,242
750,0000;259,487
751,0000;299,317
752,0000;308,914
753,0000;293,726
754,0000;304,025
755,0000;313,25
756,0000;319,463
757,0000;322,72
758,0000;326,016
759,0000;327,425
760,0000;325,499
761,0000;355,415
762,0000;348,682
763,0000;354,227
764,0000;370,803
765,0000;359,246
766,0000;371,733
767,0000;370,597
768,0000;388,683
769,0000;416,078
770,0000;415,871
771,0000;408,167
772,0000;416,831
773,0000;423,054
774,0000;446,634
775,0000;416,083
776,0000;464,654
777,0000;432,037
778,0000;487,412
779,0000;508,125
780,0000;493,757
781,0000;474,867
782,0000;496,984
783,0000;513,206
784,0000;490,567
785,0000;526,166
786,0000;548,624
787,0000;549,7
788,0000;594,115
789,0000;591,029
790,0000;575,717
791,0000;596,989
792,0000;590,692
793,0000;638,447
794,0000;644,252
795,0000;676,586
796,0000;676,666
797,0000;744,917
798,0000;648,638
799,0000;718,919
800,0000;756,172
801,0000;720,559
802,0000;665,348
803,0000;759,91
804,0000;755,769
805,0000;829,206
806,0000;735,063
807,0000;851,312
808,0000;836,746
809,0000;811,788
810,0000;794,272
811,0000;805,793
812,0000;855,745
813,0000;894,283
814,0000;930,899
815,0000;905,729
816,0000;927,078
817,0000;917,747
818,0000;915,285
819,0000;1082,91
820,0000;961,371
821,0000;1040,04
822,0000;1065,01
823,0000;977,996
824,0000;1032,16
825,0000;1234,81
826,0000;1140,31
827,0000;1181,24
828,0000;1222,48
829,0000;1149,29
830,0000;1177,25
831,0000;1229,1
832,0000;1293,17
833,0000;1264,62
834,0000;1242,21
835,0000;1210,67
836,0000;1328,54
837,0000;1284,13
838,0000;1434,71
839,0000;1402,45
840,0000;1471,84
841,0000;1452,88
842,0000;1649,18
843,0000;1445,6
844,0000;1566,97
845,0000;1495,03
846,0000;1501,15
847,0000;1566
848,0000;1561,21
849,0000;1697,56
850,0000;1582,68
851,0000;1594,92
852,0000;1748,57
853,0000;1607,38
854,0000;1841,04
855,0000;1794,71
856,0000;1769,14
857,0000;1942,6
858,0000;1855,82
859,0000;1857,75
860,0000;1801,4
861,0000;1888
862,0000;1986,22
863,0000;1999,28
864,0000;2050,57
865,0000;1916,3
866,0000;1945,88
867,0000;2069,88
868,0000;2058,31
869,0000;1989,6
870,0000;1966,38
871,0000;2115,28
872,0000;1954,98
873,0000;2080,98
874,0000;2109,07
875,0000;2292,04
876,0000;2148,42
877,0000;2232,36
878,0000;2254,06
879,0000;2302,43
880,0000;2332
881,0000;2410,23
882,0000;2248,47
883,0000;2290,46
884,0000;2285,75
885,0000;2284,17
886,0000;2265,17
887,0000;2283,46
888,0000;2413,78
889,0000;2450,52
890,0000;2482,8
891,0000;2588,99
892,0000;2831,99
893,0000;2576,1
894,0000;2472,69
895,0000;2503,52
896,0000;2433,64
897,0000;2693,28
898,0000;2739,82
899,0000;2712,48
900,0000;2896,49

##### Extended Information
[Comments]
Sample name;TDBC_NaOH_c4_em
Comment;-
User
Division
Company;Microsoft

[Detailed Information]
Creation date;17.03.2014 23:38

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Int.
Start;570 nm
End;900 nm
Data interval;1 nm
Data points;331     

[Measurement Information]
Model name;FP-8600
Serial No.;C003561454
  Ex filter holder;None
  Em filter holder;None

Accessory;SCE-846
Accessory S/N;C002561454

Accessory;FDP-837
Accessory S/N;
  Polarizer;Ex 0 degree, Em 0 degree

Measurement date;17.03.2014 23:38

Mode;Emission
Ex bandwidth;5 nm
Em bandwidth;5 nm
Response;0.5 sec
Sensitivity;High
Measurement range;570 - 900 nm
Data interval;1 nm
Ex wavelength;560.0 nm
Scan speed;100 nm/min
Auto gain;Off
Shutter control;Open only for measurement
Light source;Xe lamp
Filter;Stop scan for exchanging filter
Blank correction;Off
Spectral correction;On
Ex correction data;Ex-PL-Wlamp-P0deg_5nm
Em correction data;Em_Hal-lamp_P0deg_5nm

