TDBC_NaOH_c2_1mmK_abs-2,,
Wavelength (nm),Abs,
1200,-0.006372887641,
1199.5,-0.006373040844,
1199,-0.006580123212,
1198.5,-0.006568955723,
1198,-0.006446397863,
1197.5,-0.00651311269,
1197,-0.006499903277,
1196.5,-0.006427881308,
1196,-0.006385642104,
1195.5,-0.006413598079,
1195,-0.006481337827,
1194.5,-0.006462261546,
1194,-0.00637921365,
1193.5,-0.006411914714,
1193,-0.00641696481,
1192.5,-0.006362224929,
1192,-0.006372530479,
1191.5,-0.006407476496,
1191,-0.006370336749,
1190.5,-0.00649408903,
1190,-0.006326510105,
1189.5,-0.006366816349,
1189,-0.006433339324,
1188.5,-0.00630742684,
1188,-0.006164174993,
1187.5,-0.006351561751,
1187,-0.006383243948,
1186.5,-0.00640849676,
1186,-0.006445582025,
1185.5,-0.00638701953,
1185,-0.006358755287,
1184.5,-0.00637931563,
1184,-0.006234913599,
1183.5,-0.006324520335,
1183,-0.00639431458,
1182.5,-0.006323193666,
1182,-0.00626012357,
1181.5,-0.006400844548,
1181,-0.006370336749,
1180.5,-0.006316203158,
1180,-0.00637431629,
1179.5,-0.006341408473,
1179,-0.006486693397,
1178.5,-0.006394620519,
1178,-0.00629395619,
1177.5,-0.006360847503,
1177,-0.006330949254,
1176.5,-0.006345541216,
1176,-0.006243078969,
1175.5,-0.006255530752,
1175,-0.006369469687,
1174.5,-0.006327785552,
1174,-0.006265635137,
1173.5,-0.00632079551,
1173,-0.006318499334,
1172.5,-0.006245018449,
1172,-0.006317172665,
1171.5,-0.006484857295,
1171,-0.006410945207,
1170.5,-0.006363755558,
1170,-0.00616320502,
1169.5,-0.00627645338,
1169,-0.006307171658,
1168.5,-0.006345745176,
1168,-0.006402374711,
1167.5,-0.006417219993,
1167,-0.006443643477,
1166.5,-0.006297323853,
1166,-0.006365081761,
1165.5,-0.006382530089,
1165,-0.006410435308,
1164.5,-0.006405486725,
1164,-0.006240935531,
1163.5,-0.006320233922,
1163,-0.00634125527,
1162.5,-0.006416454446,
1162,-0.006392631214,
1161.5,-0.006483531091,
1161,-0.00635288842,
1160.5,-0.006329724565,
1160,-0.006283801515,
1159.5,-0.006234811619,
1159,-0.006370438728,
1158.5,-0.00634115329,
1158,-0.006297425833,
1157.5,-0.006336051039,
1157,-0.006382682826,
1156.5,-0.006345133297,
1156,-0.006372785661,
1155.5,-0.006401609629,
1155,-0.006366459187,
1154.5,-0.006349725183,
1154,-0.006121807732,
1153.5,-0.006265226752,
1153,-0.006493935827,
1152.5,-0.006291761994,
1152,-0.006220215466,
1151.5,-0.006285689306,
1151,-0.006250835955,
1150.5,-0.006126350723,
1150,-0.005980434828,
1149.5,-0.005973745137,
1149,-0.005963327829,
1148.5,-0.005884015467,
1148,-0.005848465487,
1147.5,-0.006042728201,
1147,-0.006162133068,
1146.5,-0.005954697728,
1146,-0.005842846818,
1145.5,-0.005720901303,
1145,-0.005526137073,
1144.5,-0.005636638496,
1144,-0.005561968777,
1143.5,-0.005525983404,
1143,-0.005568920169,
1142.5,-0.005440711509,
1142,-0.005196253769,
1141.5,-0.00518699456,
1141,-0.005064404104,
1140.5,-0.005130308215,
1140,-0.00516074989,
1139.5,-0.005026689265,
1139,-0.004936251324,
1138.5,-0.004949815571,
1138,-0.004717730917,
1137.5,-0.004903234541,
1137,-0.005018603057,
1136.5,-0.004890999757,
1136,-0.004833814222,
1135.5,-0.00484738173,
1135,-0.004780871794,
1134.5,-0.004898627289,
1134,-0.005012615584,
1133.5,-0.005014867056,
1133,-0.004850044381,
1132.5,-0.004384772852,
1132,-0.004092795309,
1131.5,-0.004129515029,
1131,-0.00409715483,
1130.5,-0.004009857308,
1130,-0.004044275731,
1129.5,-0.004148540087,
1129,-0.004227144644,
1128.5,-0.004251394887,
1128,-0.004143001977,
1127.5,-0.004202072974,
1127,-0.004293945152,
1126.5,-0.004347562324,
1126,-0.004220479634,
1125.5,-0.004361606203,
1125,-0.00452471897,
1124.5,-0.004439762793,
1124,-0.004454930779,
1123.5,-0.004491056316,
1123,-0.004465435632,
1122.5,-0.004336490761,
1122,-0.004177717026,
1121.5,-0.004321062006,
1121,-0.004240731243,
1120.5,-0.00418679323,
1120,-0.004102744628,
1119.5,-0.004111873452,
1119,-0.004134078976,
1118.5,-0.004082281608,
1118,-0.003964303993,
1117.5,-0.004008780234,
1117,-0.003919926006,
1116.5,-0.003937267233,
1116,-0.00394942658,
1115.5,-0.003985901363,
1115,-0.003988569137,
1114.5,-0.003989749122,
1114,-0.003872772679,
1113.5,-0.003843472339,
1113,-0.003933214117,
1112.5,-0.003932341933,
1112,-0.003774190554,
1111.5,-0.003906278405,
1111,-0.003896272974,
1110.5,-0.004047199618,
1110,-0.003945989069,
1109.5,-0.003988876939,
1109,-0.004068228416,
1108.5,-0.004032581113,
1108,-0.004010986071,
1107.5,-0.004064638168,
1107,-0.004113617353,
1106.5,-0.004078588914,
1106,-0.004117822275,
1105.5,-0.00418679323,
1105,-0.004135001916,
1104.5,-0.004110027105,
1104,-0.004166897852,
1103.5,-0.004031042103,
1103,-0.004086743575,
1102.5,-0.004010831937,
1102,-0.003980361391,
1101.5,-0.00406884402,
1101,-0.004143412225,
1100.5,-0.004149360582,
1100,-0.004077819642,
1099.5,-0.003980566282,
1099,-0.004025246017,
1098.5,-0.004056944977,
1098,-0.004021450412,
1097.5,-0.004058381077,
1097,-0.004080229905,
1096.5,-0.003978155088,
1096,-0.003987594508,
1095.5,-0.004070895724,
1095,-0.004175563809,
1094.5,-0.004001598805,
1094,-0.004079819657,
1093.5,-0.00404037768,
1093,-0.004003855865,
1092.5,-0.004074844997,
1092,-0.003932701424,
1091.5,-0.003948810976,
1091,-0.00394142326,
1090.5,-0.003902481403,
1090,-0.00398790231,
1089.5,-0.003985080868,
1089,-0.004027707968,
1088.5,-0.004081358202,
1088,-0.003999187611,
1087.5,-0.004022270907,
1087,-0.003881598124,
1086.5,-0.003985439893,
1086,-0.004069459625,
1085.5,-0.004024168942,
1085,-0.004126540385,
1084.5,-0.004086794797,
1084,-0.003999187611,
1083.5,-0.004005497321,
1083,-0.004107873421,
1082.5,-0.004200380761,
1082,-0.004211814608,
1081.5,-0.004212994128,
1081,-0.004220530856,
1080.5,-0.004085307475,
1080,-0.004096847028,
1079.5,-0.004108642694,
1079,-0.004183562472,
1078.5,-0.004206225742,
1078,-0.004136027768,
1077.5,-0.00406468939,
1077,-0.004225042649,
1076.5,-0.004161565099,
1076,-0.004189920612,
1075.5,-0.004215301014,
1075,-0.004217608366,
1074.5,-0.004168641288,
1074,-0.00410305243,
1073.5,-0.004194945563,
1073,-0.004192382097,
1072.5,-0.00425483007,
1072,-0.004152283538,
1071.5,-0.004210532643,
1071,-0.004150283523,
1070.5,-0.004139309749,
1070,-0.004213250242,
1069.5,-0.004306452814,
1069,-0.00431562867,
1068.5,-0.004299276508,
1068,-0.004172384273,
1067.5,-0.00425411202,
1067,-0.004328135867,
1066.5,-0.00434556324,
1066,-0.00436678296,
1065.5,-0.004326649476,
1065,-0.004302454647,
1064.5,-0.004298507236,
1064,-0.004359351005,
1063.5,-0.00426672399,
1063,-0.004346229602,
1062.5,-0.004287742078,
1062,-0.004143924918,
1061.5,-0.004374112468,
1061,-0.00432480406,
1060.5,-0.004356532358,
1060,-0.004554383457,
1059.5,-0.004468048923,
1059,-0.004606073257,
1058.5,-0.004426438827,
1058,-0.004391794093,
1057.5,-0.004466409329,
1057,-0.004582816269,
1056.5,-0.0044655893,
1056,-0.004451138899,
1055.5,-0.004572467878,
1055,-0.004558584187,
1054.5,-0.004576975945,
1054,-0.004551155958,
1053.5,-0.004549874924,
1053,-0.004612374119,
1052.5,-0.004561812151,
1052,-0.004533326719,
1051.5,-0.004556227941,
1051,-0.004689972848,
1050.5,-0.004633836914,
1050,-0.004568984266,
1049.5,-0.004619442858,
1049,-0.004679678474,
1048.5,-0.004627690185,
1048,-0.004486957099,
1047.5,-0.004589065909,
1047,-0.004729202483,
1046.5,-0.004787374754,
1046,-0.004800636321,
