x,Curve1
0.013304,61.8693
0.022359,62.4205
0.032441,62.0057
0.042378,61.7273
0.05168,61.733
0.06039,62.2955
0.077611,54.858
0.080011,61.9773
0.08886,62.0966
0.098791,62.1364
0.108438,62.1307
0.118726,61.8352
0.12882,61.7216
0.138141,61.7102
0.147721,61.767
0.157181,61.3125
0.166828,61.3068
0.176656,61.1307
0.186025,61.3864
0.195606,61.1307
0.205803,61.233
0.215135,61.2102
0.224915,61.7045
0.233831,61.4489
0.243665,61.267
0.25246,61.4375
0.262482,61.0795
0.272026,61.1705
0.281897,60.642
0.290915,61.2273
0.300792,61.3182
0.310306,61.75
0.320104,60.9773
0.328965,61.0852
0.338298,61.0625
0.348972,60.7159
0.35836,60.642
0.368611,60.6932
0.377871,60.7386
0.388129,60.4716
0.397322,60.5795
0.406353,60.2159
0.416066,61.0852
0.425889,60.6023
0.434913,60.8693
0.444215,60.875
0.453862,60.8693
0.463648,60.733
0.473688,60.983
